"id","periode_id","cadangan_devisa_miliar_usd"
1,1,116.890
2,2,119.860
3,3,121.810
4,4,123.250
5,5,124.950
6,6,123.090
7,7,127.760
8,8,128.790
9,9,129.400
10,10,126.550
11,11,125.970
12,12,130.200
13,13,131.980
14,14,128.060
15,15,126.000
16,16,124.860
17,17,122.910
18,18,119.840
19,19,118.310
20,20,117.930
21,21,114.850
22,22,115.160
23,23,117.210
24,24,120.650
25,25,120.080
26,26,123.270
27,27,124.540
28,28,124.290
29,29,120.350
30,30,123.820
31,31,125.900
32,32,126.440
33,33,124.330
34,34,126.690
35,35,126.630
36,36,135.900
37,37,131.700
38,38,130.440
39,39,120.970
40,40,127.880
41,41,130.540
42,42,131.720
43,43,135.080
44,44,137.040
45,45,135.150
46,46,133.660
47,47,133.560
48,48,135.900
49,49,138.010
50,50,138.790
51,51,137.100
52,52,138.800
53,53,136.400
54,54,137.090
55,55,137.340
56,56,144.780
57,57,146.870
58,58,145.460
59,59,145.860
60,60,144.910
61,61,141.340
62,62,141.440
63,63,139.130
64,64,135.660
65,65,135.550
66,66,136.380
67,67,132.170
68,68,132.200
69,69,130.780
70,70,133.990
71,71,134.000
72,72,137.230
73,73,139.400
74,74,140.310
75,75,145.190
76,76,144.170
77,77,139.290
78,78,137.540
79,79,137.670
80,80,137.090
81,81,134.860
82,82,133.140
83,83,138.100
84,84,146.380
85,85,145.050
86,86,144.040
87,87,140.390
88,88,136.220
89,89,138.970
90,90,140.180
91,91,145.410
92,92,150.240
93,93,149.920
94,94,151.230
95,95,150.240
96,96,155.720
97,97,156.090
98,98,154.510
99,99,157.090
100,100,152.470
101,101,152.490
102,102,152.570
103,103,151.990
104,104,150.710
105,105,148.740
106,106,149.930
107,107,150.060
108,108,156.470
109,109,154.580
110,110,151.901
111,111,148.150
112,112,146.202
113,113,144.898
114,114,
